代码,名称,现价,流通市值(亿),分类,蓄势相似度,拉升相似度,蓄势段涨幅,拉升段涨幅,匹配段DTW,匹配段相关,量能形态
688557,兰剑智能,20.800,30.9,刚启动(拉升初期),15.54,72.54,-0.0195,0.1594,1.5789,0.897,1.0
600857,宁波中百,19.650,44.1,刚启动(拉升初期),37.07,72.52,0.3436,0.2464,1.569,0.886,1.0
605179,一鸣食品,29.100,116.7,形态接近(观察),23.12,72.52,0.8618,0.9849,1.3637,0.9209,0.4
000068,华控赛格,3.060,30.8,刚启动(拉升初期),8.5,72.45,-0.0285,0.1328,1.1753,0.9124,0.4
600215,派斯林,6.460,29.5,刚启动(拉升初期),8.71,72.43,0.0235,0.1833,1.2439,0.9304,0.4
688195,腾景科技,170.140,308.1,刚启动(拉升初期),14.59,72.39,-0.2274,0.4744,1.3712,0.8748,0.7
300050,世纪鼎利,6.690,36.4,刚启动(拉升初期),8.31,72.36,-0.0735,0.2486,1.307,0.8693,0.7
688177,百奥泰,20.000,82.8,刚启动(拉升初期),35.09,72.32,0.0496,0.1825,1.5255,0.8717,1.0
605133,嵘泰股份,28.440,80.2,刚启动(拉升初期),7.73,72.29,-0.2001,0.189,1.3272,0.8792,0.7
603936,博敏电子,17.020,107.3,刚启动(拉升初期),11.54,72.28,-0.2358,0.2969,1.5172,0.8587,1.0
600051,宁波联合,6.260,19.5,刚启动(拉升初期),12.39,72.25,-0.0554,0.1188,1.1255,0.8921,0.4
600815,厦工股份,3.800,67.4,刚启动(拉升初期),19.27,72.22,0.1772,0.3659,1.0383,0.9423,0.0
300072,海新能科,3.690,86.0,刚启动(拉升初期),12.37,72.17,-0.0609,0.0819,1.5262,0.8771,1.0
000669,ST金鸿,4.190,28.5,刚启动(拉升初期),8.37,72.14,-0.0607,0.2258,1.6514,0.9055,1.0
002753,永东股份,6.720,19.9,刚启动(拉升初期),8.68,72.12,0.0158,0.1273,1.4946,0.8612,1.0
002743,富煌钢构,4.570,19.9,刚启动(拉升初期),18.3,71.97,-0.0769,0.3179,1.4888,0.8397,1.0
002491,通鼎互联,21.090,248.1,刚启动(拉升初期),12.23,71.95,-0.0922,0.3587,1.5654,0.8619,1.0
300394,天孚通信,257.940,2807.4,刚启动(拉升初期),11.94,71.83,-0.1563,0.4213,1.3402,0.9293,0.4
300931,通用电梯,15.000,29.3,刚启动(拉升初期),8.45,71.82,-0.0417,0.323,1.6439,0.8875,1.0
002988,豪美新材,23.800,59.5,刚启动(拉升初期),14.82,71.82,-0.1815,0.2122,1.6943,0.9129,1.0
688659,元琛科技,10.500,16.8,刚启动(拉升初期),8.5,71.78,-0.0296,0.2651,1.2615,0.9133,0.4
600774,汉商集团,7.160,21.1,刚启动(拉升初期),12.53,71.73,-0.0214,0.1768,0.9875,0.928,0.0
003017,大洋生物,21.980,18.3,刚启动(拉升初期),8.39,71.72,-0.0547,0.0865,1.6536,0.9077,1.0
688022,ST瀚川,8.680,15.3,刚启动(拉升初期),8.25,71.72,-0.0892,0.1714,1.5046,0.8505,1.0
605151,西上海,19.260,25.9,刚启动(拉升初期),8.09,71.71,-0.1249,0.1947,1.025,0.9386,0.0
002586,ST围海,4.640,50.5,刚启动(拉升初期),13.27,71.71,0.0668,0.3116,1.5815,0.8647,1.0
300923,研奥股份,24.490,18.7,刚启动(拉升初期),8.7,71.61,0.0207,0.2415,1.232,0.9011,0.4
002886,沃特股份,20.570,43.0,刚启动(拉升初期),7.17,71.55,-0.3041,0.1597,1.5328,0.8569,1.0
600099,林海股份,8.930,19.6,刚启动(拉升初期),8.34,71.35,-0.0682,0.1505,1.0053,0.9267,0.0
688601,力芯微,49.850,66.6,刚启动(拉升初期),8.35,71.32,-0.0646,0.3907,1.0942,0.9367,0.0
603176,汇通集团,4.920,22.7,刚启动(拉升初期),8.29,71.3,-0.0795,0.1913,1.0047,0.9218,0.0
002876,三利谱,29.570,44.0,刚启动(拉升初期),8.89,71.25,0.0698,0.1137,1.5786,0.8687,1.0
300171,东富龙,13.910,78.0,刚启动(拉升初期),41.23,71.25,0.1757,0.1688,1.4461,0.8196,1.0
605122,四方新材,11.510,19.8,刚启动(拉升初期),8.01,71.24,-0.1422,0.1566,1.1689,0.878,0.4
000711,ST京蓝,6.440,151.8,刚启动(拉升初期),16.0,71.21,0.0988,0.3004,1.5974,0.8583,1.0
600097,开创国际,8.510,20.5,刚启动(拉升初期),15.38,71.21,-0.0572,0.113,1.4117,0.8871,0.7
002951,金时科技,16.020,64.3,刚启动(拉升初期),7.86,71.18,-0.1732,0.2492,1.6487,0.8788,1.0
301300,远翔新材,31.840,12.4,刚启动(拉升初期),8.08,71.12,-0.1265,0.1516,1.25,0.9025,0.4
688628,优利德,83.800,93.7,刚启动(拉升初期),12.79,71.12,0.044,0.3918,1.5877,0.8461,1.0
001311,多利科技,17.870,32.5,刚启动(拉升初期),11.84,71.09,-0.176,0.1925,1.3297,0.8499,0.7
300404,博济医药,14.050,40.1,形态接近(观察),37.6,71.03,0.4108,0.4647,1.7298,0.8861,1.0
688503,聚和材料,89.890,217.6,刚启动(拉升初期),12.75,71.02,0.0346,0.3858,1.6049,0.8497,1.0
600543,*ST莫高,4.000,12.8,刚启动(拉升初期),8.18,70.99,-0.1042,0.1285,0.9983,0.9174,0.0
603151,邦基科技,15.470,26.5,刚启动(拉升初期),26.51,70.93,0.1275,0.2825,1.4475,0.8779,0.7
688566,吉贝尔,25.370,51.0,刚启动(拉升初期),35.91,70.88,0.016,0.072,1.6553,0.8887,1.0
688338,赛科希德,30.760,32.6,刚启动(拉升初期),35.73,70.79,0.1937,0.1794,1.5664,0.8474,1.0
300570,太辰光,202.740,389.7,刚启动(拉升初期),13.92,70.79,0.3831,0.6238,1.4938,0.8661,0.7
301160,翔楼新材,45.170,50.0,刚启动(拉升初期),9.48,70.78,0.2393,0.2661,1.7404,0.8981,1.0
603920,世运电路,38.080,274.4,刚启动(拉升初期),7.11,70.77,-0.3143,0.1637,1.4439,0.8822,0.7
000632,ST三木,3.750,17.5,刚启动(拉升初期),8.24,70.64,-0.0902,0.2433,1.2071,0.8685,0.4
600476,*ST湘邮,9.570,15.4,刚启动(拉升初期),8.04,70.61,-0.1348,0.1832,1.2524,0.8128,0.7
301126,达嘉维康,9.960,13.9,刚启动(拉升初期),12.37,70.55,-0.0613,0.153,1.2479,0.8875,0.4
603351,威尔药业,26.420,35.8,刚启动(拉升初期),19.7,70.53,0.0409,0.1396,1.3509,0.8474,0.7
002883,*ST中设,9.120,14.0,刚启动(拉升初期),8.31,70.51,-0.0732,0.087,1.285,0.9047,0.4
001360,南矿集团,18.500,23.2,刚启动(拉升初期),18.3,70.43,-0.0775,0.3181,1.4071,0.8491,0.7
301360,荣旗科技,55.460,18.9,刚启动(拉升初期),7.45,70.41,-0.2531,0.2017,1.4674,0.8779,0.7
