代码,名称,现价,流通市值(亿),分类,蓄势相似度,拉升相似度,蓄势段涨幅,拉升段涨幅,匹配段DTW,匹配段相关,量能形态
000790,华神科技,4.080,25.4,刚启动(拉升初期),17.62,74.54,0.0408,0.0968,1.2712,0.9249,0.7
603387,基蛋生物,9.420,47.8,刚启动(拉升初期),29.93,74.47,0.0572,0.0941,1.2263,0.9084,0.7
603912,佳力图,8.480,46.0,刚启动(拉升初期),18.31,74.4,-0.0732,0.1893,1.4826,0.9087,1.0
603330,天洋新材,9.970,43.1,形态接近(观察),9.88,74.33,0.553,0.5083,1.4796,0.8824,1.0
603282,亚光股份,15.610,20.9,刚启动(拉升初期),8.52,74.22,-0.0238,0.171,1.0635,0.9161,0.4
603456,九洲药业,16.600,146.4,刚启动(拉升初期),51.36,74.21,0.3133,0.1504,1.4135,0.8844,1.0
600257,大湖股份,5.480,26.4,刚启动(拉升初期),18.6,74.2,-0.0054,0.1417,1.3102,0.9253,0.7
000952,广济药业,6.380,21.9,刚启动(拉升初期),15.42,74.19,-0.0492,0.1642,1.0775,0.9206,0.4
300030,阳普医疗,6.830,18.6,刚启动(拉升初期),12.54,74.0,-0.0201,0.1197,1.2412,0.8993,0.7
603391,力聚热能,68.570,15.6,刚启动(拉升初期),28.3,73.97,0.1328,0.3533,1.3593,0.8441,1.0
603307,扬州金泉,25.610,24.9,刚启动(拉升初期),6.91,73.74,-0.3478,0.1873,1.0397,0.8948,0.4
301062,上海艾录,7.300,20.1,刚启动(拉升初期),12.9,73.73,0.0735,0.2785,1.3187,0.9052,0.7
300967,晓鸣股份,16.450,20.5,刚启动(拉升初期),8.29,73.56,-0.0779,0.1642,1.3552,0.8475,1.0
300194,福安药业,3.930,38.1,刚启动(拉升初期),29.8,73.37,0.0288,0.0708,1.5416,0.9133,1.0
000953,中哲精化,6.250,22.9,刚启动(拉升初期),12.49,73.36,-0.0325,0.1792,1.1157,0.9113,0.4
301209,联合化学,59.760,80.1,刚启动(拉升初期),17.17,73.18,-0.3035,0.361,1.4923,0.8679,1.0
300050,世纪鼎利,6.860,37.4,刚启动(拉升初期),8.44,72.94,-0.0432,0.3017,1.1868,0.8396,0.7
